TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionCategory,RiskScore
TX000118,AC00498,56.98,01-01-2024 16:34,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,04-11-2024 08:07,Normal,20.5698
TX000119,AC00085,407.65,07-07-2023 16:11,Debit,Boston,D000544,98.255.160.110,M041,Online,26,Engineer,62,1,8346.64,04-11-2024 08:06,Normal,14.0765
TX000120,AC00092,115.83,22-05-2023 17:09,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,04-11-2024 08:10,Normal,11.1583
TX000121,AC00295,53.57,16-08-2023 16:17,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,04-11-2024 08:08,Normal,10.5357
TX000122,AC00358,63.34,17-11-2023 16:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,04-11-2024 08:10,Normal,10.6334
TX000123,AC00311,317.87,22-05-2023 17:29,Debit,Detroit,D000314,79.227.202.117,M076,Online,27,Student,91,1,145.5,04-11-2024 08:11,Normal,13.1787
TX000124,AC00066,331.65,25-08-2023 17:26,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,04-11-2024 08:11,Normal,13.3165
TX000125,AC00340,5.04,27-11-2023 16:38,Debit,Washington,D000021,63.67.150.226,M001,ATM,56,Retired,41,1,5558.36,04-11-2024 08:10,Normal,10.0504
TX000126,AC00284,214.54,04-08-2023 17:46,Credit,Detroit,D000112,195.226.203.234,M026,Online,70,Doctor,247,1,11151.53,04-11-2024 08:11,Normal,12.1454
TX000127,AC00208,598.81,04-09-2023 16:48,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,57,Doctor,158,1,1415.52,04-11-2024 08:10,Normal,15.9881
TX000128,AC00176,841.28,09-08-2023 17:34,Debit,Tucson,D000276,101.223.82.253,M083,Online,26,Student,80,1,1103.64,04-11-2024 08:09,Normal,18.4128
TX000129,AC00053,38.15,07-09-2023 16:07,Debit,Mesa,D000687,77.21.150.75,M005,Online,26,Student,108,1,303.68,04-11-2024 08:07,Normal,10.3815
TX000130,AC00320,1036.66,11-07-2023 16:39,Debit,San Antonio,D000015,53.218.177.171,M062,Branch,58,Doctor,144,1,5541.57,04-11-2024 08:09,Normal,20.3666
TX000131,AC00382,124.72,03-07-2023 17:14,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,04-11-2024 08:07,Normal,11.2472
TX000132,AC00384,302.45,25-09-2023 17:13,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,78,Retired,40,1,5133.61,04-11-2024 08:11,Normal,13.0245
TX000133,AC00203,208.04,20-11-2023 17:10,Debit,Louisville,D000339,65.27.212.129,M055,Online,47,Engineer,273,1,9344.98,04-11-2024 08:08,Normal,12.0804
TX000134,AC00498,5.77,17-11-2023 17:27,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,23,Student,254,1,1117.97,04-11-2024 08:10,Normal,10.0577
TX000135,AC00349,381.33,21-08-2023 16:46,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,56,Doctor,75,1,11835.35,04-11-2024 08:09,Normal,13.8133
TX000136,AC00177,16.16,16-10-2023 16:59,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50,Doctor,124,1,14401.17,04-11-2024 08:11,Normal,10.1616
TX000137,AC00284,486.08,20-06-2023 17:21,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,18,Student,68,1,1748.69,04-11-2024 08:07,Normal,14.8608
TX000138,AC00272,336.39,16-01-2023 16:53,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,21,Student,18,1,1000.46,04-11-2024 08:09,Normal,13.3639
TX000139,AC00405,997.43,22-11-2023 16:07,Debit,Seattle,D000661,100.4.40.132,M067,Online,69,Doctor,118,1,6810.05,04-11-2024 08:08,Normal,19.9743
TX000140,AC00385,234.57,01-09-2023 16:09,Debit,Chicago,D000553,45.182.28.148,M045,Online,23,Student,120,1,263.98,04-11-2024 08:08,Normal,12.3457
TX000141,AC00403,6,23-10-2023 18:38,Debit,Chicago,D000556,18.72.115.111,M090,Online,30,Doctor,246,1,5442.76,04-11-2024 08:09,Normal,10.06
TX000142,AC00114,1049.92,23-10-2023 16:50,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1,2037.85,04-11-2024 08:10,Normal,20.4992
TX000143,AC00163,227.14,03-07-2023 17:42,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,18,Student,294,1,341.94,04-11-2024 08:11,Normal,12.2714
TX000144,AC00108,233.74,24-10-2023 16:41,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,66,Retired,17,1,1066.59,04-11-2024 08:11,Normal,12.3374
TX000145,AC00397,113.02,25-09-2023 16:54,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,69,Retired,166,1,6077.96,04-11-2024 08:07,Normal,11.1302
TX000146,AC00434,45.85,16-02-2023 17:57,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,20,Student,92,1,1659.15,04-11-2024 08:07,Normal,10.4585
TX000147,AC00385,973.39,30-08-2023 17:23,Debit,Sacramento,D000292,202.194.199.70,M026,Branch,77,Retired,296,1,2042.22,04-11-2024 08:11,Normal,19.7339
TX000148,AC00161,514.95,13-04-2023 18:37,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,421.93,04-11-2024 08:10,Normal,55.1495
TX000149,AC00333,415.5,28-07-2023 16:29,Debit,Memphis,D000330,140.212.253.222,M077,ATM,66,Doctor,141,1,10113.66,04-11-2024 08:10,Normal,14.155
TX000150,AC00279,265.76,06-02-2023 17:48,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,54,Retired,92,1,4446.17,04-11-2024 08:12,Normal,12.6576
TX000151,AC00072,69.4,24-07-2023 18:08,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,80,Retired,113,1,6452.77,04-11-2024 08:09,Normal,10.694
TX000152,AC00242,332.93,20-11-2023 16:29,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,35,Engineer,293,1,2788.2,04-11-2024 08:08,Normal,13.3293
TX000153,AC00303,267.9,09-10-2023 16:52,Debit,San Antonio,D000605,216.32.4.105,M078,Online,20,Student,160,1,596.16,04-11-2024 08:08,Normal,12.679
TX000154,AC00442,496.03,03-11-2023 16:45,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,61,Doctor,265,1,12904.66,04-11-2024 08:09,Normal,14.9603
TX000155,AC00087,376.26,15-02-2023 16:41,Debit,Tucson,D000481,82.88.241.226,M081,ATM,37,Engineer,245,1,9062.4,04-11-2024 08:09,Normal,13.7626
